predicate,scored,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,plain_sec
speed increase,11,10,10,11,11,4.114044105385517e-10,0.99999999932456,1.000000001268059,14.20396637916565,0.0003364086151123047
overspeed,11,4,4,11,11,1.4195846836003284e-09,0.9999999990898092,1.0000000002917715,13.574581861495972,0.00015807151794433594
time window,32768,4,4,32768,32768,3.086956088758582e-09,0.9999999994514688,1.0000000001543183,27.070773124694824,0.00021576881408691406
