row,t_real,speed,incr_out,incr_cipher,incr_plain,over_out,over_cipher,over_plain,win_out,win_cipher,win_plain
0,-5020,42,1.0000000000508575,1,1,1.4195846836003284e-09,0,0,-1.1910903465891712e-09,0,0
1,-4520,46,0.9999999995762934,1,1,-6.74139405584668e-10,0,0,6.885872802911569e-10,0,0
2,-4020,50,0.99999999932456,1,1,6.017749441711012e-10,0,0,5.93123180538951e-10,0,0
3,-3520,53,1.000000000507601,1,1,-5.652426311220795e-10,0,0,-8.272392943831111e-10,0,0
4,-3020,56,1.0000000005290415,1,1,-2.7121014495054273e-10,0,0,-2.85604834586378e-10,0,0
5,-2520,59,1.0000000008875067,1,1,-5.3493453514646584e-11,0,0,0.9999999995064748,1,1
6,-2020,61,1.0000000001884923,1,1,0.999999999167158,1,1,0.9999999994514688,1,1
7,-1520,64,1.000000001268059,1,1,0.9999999990898092,1,1,1.0000000001543183,1,1
8,-1020,66,1.0000000005304335,1,1,1.0000000002917715,1,1,0.9999999999068203,1,1
9,-520,68,1.0000000001753264,1,1,0.9999999996976753,1,1,-6.741206533666885e-10,0,0
10,-20,5,4.114044105385517e-10,0,0,6.485836704419336e-11,0,0,4.970651253602809e-10,0,0
11,-20,-1,-5.421291748852752e-10,0,0,-1.32316232192762e-10,0,0,5.145698775736777e-10,0,0
12,-3,-1,0.47006030431610657,0,0,-1.400651325276955e-10,0,0,4.585629242088121e-10,0,0
13,0,-1,0.5022076911644572,1,0,-3.554992560832453e-10,0,0,1.669086734291567e-10,0,0
14,5,-1,0.4851084485775866,0,0,-4.954403567095233e-10,0,0,-5.471111496802094e-10,0,0
15,11,-1,0.48960660341819473,0,0,-2.213211196540258e-10,0,0,4.379150757729018e-10,0,0
