no,타임스탬프,t_ms,t_rel_ms,서버시각_t_ms,시각오프셋_ms,위도_x1e5,경도_x1e5,속도_kmh,방위_deg,poiID,상대번호
58,2023-12-15 14:32:04.058,1702618324058,15809764058,1721021563000,-1,-1,-1,-1,-1,-1,-1
59,2023-12-15 14:32:04.119,1702618324119,15809764119,1721021563000,-1,-1,-1,-1,-1,-1,-1
60,2023-12-15 14:32:04.376,1702618324376,15809764376,1721021564000,-1,-1,-1,-1,-1,-1,-1
61,2023-12-15 14:32:04.413,1702618324413,15809764413,1721021563000,-1,-1,-1,-1,-1,-1,-1
62,2023-12-15 14:32:11.776,1702618331776,15809771776,1721021571000,-1,-1,-1,-1,-1,-1,-1
63,2023-12-15 14:32:12.024,1702618332024,15809772024,1721021571000,-1,-1,-1,-1,-1,-1,-1
64,2023-12-15 14:32:36.011,1702618356011,15809796011,1721021595000,-1,-1,-1,-1,-1,-1,-1
65,2023-12-15 14:32:36.436,1702618356436,15809796436,1721021596000,-1,-1,-1,-1,-1,-1,-1
66,2023-12-15 14:32:36.569,1702618356569,15809796569,1721021596000,-1,-1,-1,-1,-1,-1,-1
67,2023-12-15 14:32:36.803,1702618356803,15809796803,1721021596000,-1,-1,-1,-1,-1,-1,-1
68,2023-12-15 14:33:58.854,1702618438854,15809878854,1721021678000,-1,-1,-1,-1,-1,-1,-1
69,2023-12-15 14:33:59.195,1702618439195,15809879195,1721021679000,-1,-1,-1,-1,-1,-1,-1
70,2023-12-15 14:34:01.223,1702618441223,15809881223,1721021681000,-1,-1,-1,-1,-1,-1,-1
71,2023-12-15 14:34:01.455,1702618441455,15809881455,1721021681000,-1,-1,-1,-1,-1,-1,-1
72,2023-12-15 14:36:01.230,1702618561230,15810001230,1721021801000,-1,-1,-1,-1,-1,-1,-1
73,2023-12-15 14:36:01.583,1702618561583,15810001583,1721021801000,-1,-1,-1,-1,-1,-1,-1
74,2023-12-15 14:38:01.589,1702618681589,15810121589,1721021921000,-1,-1,-1,-1,-1,-1,-1
75,2023-12-15 14:38:01.910,1702618681910,15810121910,1721021922000,-1,-1,-1,-1,-1,-1,-1
76,2023-12-15 14:38:26.911,1702618706911,15810146911,1721021946000,-1,-1,-1,-1,-1,-1,-1
77,2023-12-15 14:38:27.286,1702618707286,15810147286,1721021947000,-1,-1,-1,-1,-1,-1,-1
78,2023-12-15 14:39:04.140,1702618744140,15810184140,1721021984000,-1,-1,-1,-1,-1,-1,-1
79,2023-12-15 14:39:04.480,1702618744480,15810184480,1721021983000,-1,-1,-1,-1,-1,-1,-1
80,2023-12-15 14:40:01.796,1702618801796,15810241796,1721022041000,-1,-1,-1,-1,-1,-1,-1
81,2023-12-15 14:40:02.135,1702618802135,15810242135,1721022042000,-1,-1,-1,-1,-1,-1,-1
82,2023-12-15 14:42:02.037,1702618922037,15810362037,1721022161000,-1,-1,-1,-1,-1,-1,-1
83,2023-12-15 14:42:02.339,1702618922339,15810362339,1721022162000,-1,-1,-1,-1,-1,-1,-1
84,2023-12-15 14:42:04.842,1702618924842,15810364842,1721022164000,-1,-1,-1,-1,-1,-1,-1
85,2023-12-15 14:42:05.100,1702618925100,15810365100,1721022164000,-1,-1,-1,-1,-1,-1,-1
86,2023-12-15 05:49:00.000,1702619340000,15810780000,-1,-18403248000,3732206,12712773,0,231,-1,-1
87,2023-12-15 14:49:54.399,1702619394399,15810834399,1721022642000,-1,-1,-1,-1,-1,-1,-1
88,2023-12-15 14:49:54.750,1702619394750,15810834750,1721022643000,-1,-1,-1,-1,-1,-1,-1
89,2023-12-15 14:50:07.991,1702619407991,15810847991,1721022655000,-1,-1,-1,-1,-1,-1,-1
90,2023-12-15 14:50:08.386,1702619408386,15810848386,1721022656000,-1,-1,-1,-1,-1,-1,-1
91,2023-12-15 14:50:08.705,1702619408705,15810848705,1721022656000,-1,-1,-1,-1,-1,-1,-1
92,2023-12-15 14:50:08.969,1702619408969,15810848969,1721022657000,-1,-1,-1,-1,-1,-1,-1
93,2023-12-15 14:50:09.244,1702619409244,15810849244,1721022657000,-1,-1,-1,-1,-1,-1,-1
94,2023-12-15 14:50:09.666,1702619409666,15810849666,1721022657000,-1,-1,-1,-1,-1,-1,-1
95,2023-12-15 14:50:10.072,1702619410072,15810850072,1721022657000,-1,-1,-1,-1,-1,-1,-1
96,2023-12-15 14:50:10.671,1702619410671,15810850671,1721022658000,-1,-1,-1,-1,-1,-1,-1
97,2023-12-15 14:50:10.816,1702619410816,15810850816,1721022659000,-1,-1,-1,-1,-1,-1,-1
98,2023-12-15 14:50:11.385,1702619411385,15810851385,1721022659000,-1,-1,-1,-1,-1,-1,-1
99,2023-12-15 14:50:11.426,1702619411426,15810851426,1721022659000,-1,-1,-1,-1,-1,-1,-1
100,2023-12-15 14:50:11.646,1702619411646,15810851646,1721022659000,-1,-1,-1,-1,-1,-1,-1
101,2023-12-15 14:50:11.961,1702619411961,15810851961,1721022659000,-1,-1,-1,-1,-1,-1,-1
102,2023-12-15 14:50:12.328,1702619412328,15810852328,1721022660000,-1,-1,-1,-1,-1,-1,-1
103,2023-12-15 14:50:15.133,1702619415133,15810855133,1721022663000,-1,-1,-1,-1,-1,-1,-1
104,2023-12-15 14:50:15.431,1702619415431,15810855431,1721022664000,-1,-1,-1,-1,-1,-1,-1
105,2023-12-15 14:50:25.732,1702619425732,15810865732,1721022673000,-1,-1,-1,-1,-1,-1,-1
106,2023-12-15 14:50:25.981,1702619425981,15810865981,1721022673000,-1,-1,-1,-1,-1,-1,-1
107,2023-12-15 14:50:26.208,1702619426208,15810866208,1721022674000,-1,-1,-1,-1,-1,-1,-1
108,2023-12-15 14:50:28.355,1702619428355,15810868355,1721022676000,-1,-1,-1,-1,-1,-1,-1
109,2023-12-15 14:50:29.491,1702619429491,15810869491,1721022677000,-1,-1,-1,-1,-1,-1,-1
110,2023-12-15 14:50:29.761,1702619429761,15810869761,1721022677000,-1,-1,-1,-1,-1,-1,-1
111,2023-12-15 14:50:34.513,1702619434513,15810874513,1721022682000,-1,-1,-1,-1,-1,-1,-1
112,2023-12-15 14:50:34.748,1702619434748,15810874748,1721022683000,-1,-1,-1,-1,-1,-1,-1
113,2023-12-15 14:50:36.593,1702619436593,15810876593,1721022684000,-1,-1,-1,-1,-1,-1,-1
114,2023-12-15 14:50:36.858,1702619436858,15810876858,1721022685000,-1,-1,-1,-1,-1,-1,-1
115,2023-12-15 14:50:42.008,1702619442008,15810882008,1721022689000,-1,-1,-1,-1,-1,-1,-1
116,2023-12-15 14:50:42.274,1702619442274,15810882274,1721022690000,-1,-1,-1,-1,-1,-1,-1
117,2023-12-15 14:50:53.618,1702619453618,15810893618,1721022701000,-1,-1,-1,-1,-1,-1,-1
118,2023-12-15 14:50:53.992,1702619453992,15810893992,1721022701000,-1,-1,-1,-1,-1,-1,-1
119,2023-12-15 14:50:54.311,1702619454311,15810894311,1721022702000,-1,-1,-1,-1,-1,-1,-1
120,2023-12-15 14:50:54.544,1702619454544,15810894544,1721022703000,-1,-1,-1,-1,-1,-1,-1
121,2023-12-15 14:50:54.920,1702619454920,15810894920,1721022702000,-1,-1,-1,-1,-1,-1,-1
122,2023-12-15 14:50:55.233,1702619455233,15810895233,1721022703000,-1,-1,-1,-1,-1,-1,-1
123,2023-12-15 14:50:55.609,1702619455609,15810895609,1721022703000,-1,-1,-1,-1,-1,-1,-1
124,2023-12-15 14:50:55.971,1702619455971,15810895971,1721022703000,-1,-1,-1,-1,-1,-1,-1
125,2023-12-15 14:51:01.769,1702619461769,15810901769,1721022709000,-1,-1,-1,-1,-1,-1,-1
126,2023-12-15 14:51:01.999,1702619461999,15810901999,1721022710000,-1,-1,-1,-1,-1,-1,-1
127,2023-12-15 14:51:04.370,1702619464370,15810904370,1721022712000,-1,-1,-1,-1,-1,-1,-1
128,2023-12-15 14:51:04.668,1702619464668,15810904668,1721022713000,-1,-1,-1,-1,-1,-1,-1
129,2023-12-15 14:51:05.536,1702619465536,15810905536,1721022713000,-1,-1,-1,-1,-1,-1,-1
130,2023-12-15 14:51:05.852,1702619465852,15810905852,1721022714000,-1,-1,-1,-1,-1,-1,-1
131,2023-12-15 14:51:07.294,1702619467294,15810907294,1721022715000,-1,-1,-1,-1,-1,-1,-1
132,2023-12-15 14:51:07.534,1702619467534,15810907534,1721022716000,-1,-1,-1,-1,-1,-1,-1
133,2023-12-15 14:51:10.869,1702619470869,15810910869,1721022718000,-1,-1,-1,-1,-1,-1,-1
134,2023-12-15 14:51:12.692,1702619472692,15810912692,1721022721000,-1,-1,-1,-1,-1,-1,-1
135,2023-12-15 14:51:14.028,1702619474028,15810914028,1721022721000,-1,-1,-1,-1,-1,-1,-1
136,2023-12-15 14:51:14.319,1702619474319,15810914319,1721022722000,-1,-1,-1,-1,-1,-1,-1
137,2023-12-15 14:51:17.757,1702619477757,15810917757,1721022725000,-1,-1,-1,-1,-1,-1,-1
138,2023-12-15 14:51:18.055,1702619478055,15810918055,1721022726000,-1,-1,-1,-1,-1,-1,-1
139,2023-12-15 14:51:23.643,1702619483643,15810923643,1721022731000,-1,-1,-1,-1,-1,-1,-1
140,2023-12-15 14:51:23.891,1702619483891,15810923891,1721022732000,-1,-1,-1,-1,-1,-1,-1
141,2023-12-15 14:51:39.716,1702619499716,15810939716,1721022747000,-1,-1,-1,-1,-1,-1,-1
142,2023-12-15 14:51:40.133,1702619500133,15810940133,1721022748000,-1,-1,-1,-1,-1,-1,-1
143,2023-12-15 14:51:40.529,1702619500529,15810940529,1721022748000,-1,-1,-1,-1,-1,-1,-1
144,2023-12-15 14:51:40.792,1702619500792,15810940792,1721022749000,-1,-1,-1,-1,-1,-1,-1
145,2023-12-15 14:51:41.094,1702619501094,15810941094,1721022748000,-1,-1,-1,-1,-1,-1,-1
146,2023-12-15 14:51:41.345,1702619501345,15810941345,1721022750000,-1,-1,-1,-1,-1,-1,-1
147,2023-12-15 14:51:41.771,1702619501771,15810941771,1721022749000,-1,-1,-1,-1,-1,-1,-1
148,2023-12-15 14:51:42.090,1702619502090,15810942090,1721022750000,-1,-1,-1,-1,-1,-1,-1
149,2023-12-15 14:51:42.473,1702619502473,15810942473,1721022750000,-1,-1,-1,-1,-1,-1,-1
150,2023-12-15 14:51:42.797,1702619502797,15810942797,1721022750000,-1,-1,-1,-1,-1,-1,-1
151,2023-12-15 14:51:47.843,1702619507843,15810947843,1721022755000,-1,-1,-1,-1,-1,-1,-1
152,2023-12-15 14:51:48.178,1702619508178,15810948178,1721022756000,-1,-1,-1,-1,-1,-1,-1
153,2023-12-15 14:51:49.641,1702619509641,15810949641,1721022757000,-1,-1,-1,-1,-1,-1,-1
154,2023-12-15 14:51:49.889,1702619509889,15810949889,1721022758000,-1,-1,-1,-1,-1,-1,-1
155,2023-12-15 14:51:52.394,1702619512394,15810952394,1721022760000,-1,-1,-1,-1,-1,-1,-1
156,2023-12-15 14:51:53.995,1702619513995,15810953995,1721022762000,-1,-1,-1,-1,-1,-1,-1
157,2023-12-15 14:51:54.701,1702619514701,15810954701,1721022762000,-1,-1,-1,-1,-1,-1,-1
158,2023-12-15 14:51:54.946,1702619514946,15810954946,1721022762000,-1,-1,-1,-1,-1,-1,-1
159,2023-12-15 14:51:55.089,1702619515089,15810955089,1721022763000,-1,-1,-1,-1,-1,-1,-1
160,2023-12-15 14:51:55.324,1702619515324,15810955324,1721022764000,-1,-1,-1,-1,-1,-1,-1
