dataset,radius,slot,dist_km,plain,decrypted
k5_kitkat,0.2,5104,0.0,1,1.0000000019039978
k5_kitkat,0.2,4,0.44262535709350215,0,3.9893919714971513e-10
k5_kitkat,0.2,6668,0.4753895722656689,0,-4.5851567050137984e-11
k5_kitkat,0.2,3686,0.6553628250821437,0,-7.449164647401983e-11
k5_kitkat,0.2,6621,0.6882914719882955,0,2.5447400521396376e-10
k5_kitkat,0.2,3953,0.696323069354667,0,9.527807278109821e-10
k5_kitkat,0.2,4158,0.6973096438240268,0,-1.6718591240502962e-10
k5_kitkat,0.2,4152,0.6973096438240268,0,-3.123906053299176e-10
k5_kitkat,0.2,4162,0.8038151511989581,0,-2.2363960558399405e-10
k5_kitkat,0.2,4147,2.7331035594633626,0,-6.287424141401802e-10
k5_kitkat,0.2,6208,6.7211356825737205,0,-4.752119911261909e-10
k5_kitkat,0.2,3576,7.181269009184697,0,-2.023342927037484e-11
k5_kitkat,0.2,4142,12.412928760126656,0,5.461953654865834e-10
k5_kitkat,0.2,4800,27.80304636014916,0,-5.127840625235448e-10
k5_kitkat,0.2,4714,28.148674981503987,0,1.676059655879467e-10
k5_kitkat,0.2,1191,56.40754527155137,0,-6.45574413242995e-11
k5_kitkat,0.2,1199,56.40754527155137,0,-4.529828477951057e-10
k5_kitkat,0.2,1196,56.40754527155137,0,-1.6640488463164896e-10
k5_kitkat,0.2,2960,149.53880062984243,0,-2.1202844378955636e-11
k5_kitkat,0.2,2965,149.53880062984243,0,-2.449894864508636e-10
k5_kitkat,0.2,1212,160.3628594252087,0,-6.003709680585879e-10
k5_kitkat,0.2,1285,160.8516810910896,0,4.177302135980349e-11
k5_kitkat,0.2,1274,160.86180733241503,0,-7.922425452385056e-10
k5_kitkat,0.2,1434,160.86309535675954,0,3.0805287194911065e-10
k5_kitkat,0.2,1436,160.86309535675954,0,-5.919963807285346e-10
k5_kitkat,0.2,1469,160.8697649401578,0,1.3050033951908097e-11
k5_kitkat,0.2,1559,160.98335892834567,0,6.232087882046745e-11
k5_kitkat,0.2,1295,161.18784977719187,0,-4.1998143152981997e-10
k5_kitkat,0.2,1321,161.31531381387404,0,2.126336890881581e-11
k5_kitkat,0.2,1356,161.3764909783767,0,-4.979458224247406e-10
k5_kitkat,0.2,2236,163.06957302919025,0,8.20504035409971e-10
k5_kitkat,0.2,2281,163.2393894849388,0,1.8412246976285344e-10
k5_kitkat,0.2,2562,164.56647708688772,0,5.926870412523991e-10
k5_kitkat,0.2,2535,164.7209682579967,0,-1.2259077864935832e-10
k5_kitkat,0.2,1783,164.72562968179224,0,1.3977974900172411e-10
k5_kitkat,0.2,1748,164.7418652990568,0,-3.332312875004084e-10
k5_kitkat,0.2,2402,164.90862214754273,0,6.233537400754641e-11
k5_kitkat,0.2,2660,166.45406803669613,0,4.0961669193087743e-11
k5_kitkat,0.2,2646,166.45406803669613,0,-1.455243487099936e-10
k5_kitkat,0.2,2623,166.50282948730043,0,-2.4630694442134543e-10
k5_kitkat,0.2,0,535.4992066217459,0,-6.619503270601683e-10
k5_kitkat,0.2,1,535.4992066217459,0,-3.0673269502068484e-10
k5_kitkat,0.5,5104,0.0,1,1.0000000000784677
k5_kitkat,0.5,4,0.44262535709350215,1,1.0000000006845258
k5_kitkat,0.5,6668,0.4753895722656689,1,0.9999999999036722
k5_kitkat,0.5,3686,0.6553628250821437,0,-2.291180206071071e-10
k5_kitkat,0.5,6621,0.6882914719882955,0,-4.40152094045006e-10
k5_kitkat,0.5,3953,0.696323069354667,0,-1.852386572903616e-09
k5_kitkat,0.5,4158,0.6973096438240268,0,-3.0434416478017815e-10
k5_kitkat,0.5,4152,0.6973096438240268,0,6.230593196090788e-11
k5_kitkat,0.5,4162,0.8038151511989581,0,-3.1936022952133934e-10
k5_kitkat,0.5,4147,2.7331035594633626,0,-8.978473890082964e-10
k5_kitkat,0.5,6208,6.7211356825737205,0,1.0824274701062725e-10
k5_kitkat,0.5,3576,7.181269009184697,0,-1.3288154881935032e-09
k5_kitkat,0.5,4142,12.412928760126656,0,2.7146167027795554e-10
k5_kitkat,0.5,4800,27.80304636014916,0,-2.5428875659305855e-10
k5_kitkat,0.5,4714,28.148674981503987,0,6.508201112172664e-10
k5_kitkat,0.5,1191,56.40754527155137,0,4.2915002219297176e-10
k5_kitkat,0.5,1199,56.40754527155137,0,1.0122133740083192e-09
k5_kitkat,0.5,1196,56.40754527155137,0,7.750926150850121e-10
k5_kitkat,0.5,2960,149.53880062984243,0,-7.950649979817772e-10
k5_kitkat,0.5,2965,149.53880062984243,0,-3.273753151937615e-10
k5_kitkat,0.5,1212,160.3628594252087,0,2.0757256587385003e-10
k5_kitkat,0.5,1285,160.8516810910896,0,6.703382730437869e-10
k5_kitkat,0.5,1274,160.86180733241503,0,-4.495204081794686e-10
k5_kitkat,0.5,1434,160.86309535675954,0,-1.4485528497194559e-11
k5_kitkat,0.5,1436,160.86309535675954,0,5.659504209810928e-10
k5_kitkat,0.5,1469,160.8697649401578,0,-5.54404898295384e-10
k5_kitkat,0.5,1559,160.98335892834567,0,1.625472870820858e-09
k5_kitkat,0.5,1295,161.18784977719187,0,4.725198074598169e-10
k5_kitkat,0.5,1321,161.31531381387404,0,1.0419847533835807e-10
k5_kitkat,0.5,1356,161.3764909783767,0,-2.6516845359725416e-10
k5_kitkat,0.5,2236,163.06957302919025,0,2.13307558781599e-10
k5_kitkat,0.5,2281,163.2393894849388,0,-5.615685307242932e-10
k5_kitkat,0.5,2562,164.56647708688772,0,-1.8005915783886345e-10
k5_kitkat,0.5,2535,164.7209682579967,0,-2.4858556834855824e-10
k5_kitkat,0.5,1783,164.72562968179224,0,6.67159206180912e-11
k5_kitkat,0.5,1748,164.7418652990568,0,-2.670494224641022e-10
k5_kitkat,0.5,2402,164.90862214754273,0,9.519852265470336e-10
