dataset,radius,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,plain_sec
sorento,0.5,5784,5784,32768,32768,2.939052416210753e-09,0.9999999976383761,1.0000000027095544,15.342921257019043,0.000225067138671875
sorento,1.0,5784,5784,32768,32768,3.297781187521814e-09,0.999999996973569,1.0000000028134965,13.036762952804565,0.000179290771484375
sorento,2.0,5784,5784,32768,32768,3.579568863543159e-09,0.9999999977161058,1.0000000025707054,12.87482500076294,0.00011754035949707031
sorento,3.0,12380,12380,32768,32768,3.351297803026115e-09,0.9999999977953274,1.000000002908217,13.173873901367188,0.0001862049102783203
sorento,5.0,17370,17370,32768,32768,2.5800179478152114e-09,0.9999999973327034,1.0000000022640319,13.101520299911499,0.00012421607971191406
sorento,10.0,19410,19410,32768,32768,2.8839505930298316e-09,0.9999999970853565,1.0000000025841969,13.193840026855469,0.00011754035949707031
