dataset,radius,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,param_enc_sec,plain_sec
k5_kitkat,0.2,3,3,32768,32768,3.5312494395668876e-09,0.7797793854771924,1.0000000019039978,14.064923286437988,0.020546436309814453,0.00014352798461914062
k5_kitkat,0.5,13,13,32768,32768,3.096993221635813e-09,0.999999999023421,1.0000000014421881,13.858277082443237,0.022256851196289062,9.560585021972656e-05
k5_kitkat,1.0,52,52,32768,32768,4.535837912937732e-09,0.9999999982715958,1.0000000012848371,12.563624858856201,0.023122072219848633,0.00011587142944335938
k5_kitkat,2.0,56,56,32768,32768,3.70187507511752e-09,0.999999998211213,1.0000000010733876,13.946650981903076,0.02400493621826172,0.0001404285430908203
k5_kitkat,3.0,58,58,32768,32768,3.226435701151975e-09,0.9999999988437126,1.0000000011334291,13.80200481414795,0.021788358688354492,0.00012540817260742188
k5_kitkat,5.0,58,58,32768,32768,3.306664267820469e-09,0.9999999983411081,1.000000001525027,12.554993152618408,0.02222728729248047,0.00011920928955078125
k5_jellybean,0.2,4,4,32768,32768,2.8797503223113514e-09,0.9982500857822739,1.0000000006600605,12.227723598480225,0.019804716110229492,0.00011754035949707031
k5_jellybean,0.5,4,4,32768,32768,3.6437145820712567e-09,0.9999999992724335,1.0000000004701852,12.337204456329346,0.02157115936279297,0.00010275840759277344
k5_jellybean,1.0,5,5,32768,32768,3.936177304803963e-09,0.9999999996909896,1.0000000006348357,12.28473162651062,0.02149796485900879,0.0001857280731201172
k5_jellybean,2.0,5,5,32768,32768,3.1440051730013508e-09,0.9999999994027503,0.999999999837142,12.138388633728027,0.02178955078125,0.0001227855682373047
k5_jellybean,3.0,53,53,32768,32768,3.85153297539998e-09,0.999999998114419,1.0000000011017707,12.156754970550537,0.02153754234313965,9.083747863769531e-05
k5_jellybean,5.0,254,254,32768,32768,3.61934736866886e-09,0.9999999988632017,1.000000002337218,12.030406713485718,0.02161431312561035,0.00011491775512695312
