dataset,radius,slot,dist_km,plain,decrypted
k5_jellybean,0.2,86,0.0,1,1.000000000063256
k5_jellybean,0.2,59,2.5571023475835934,0,-1.0328794054888118e-09
k5_jellybean,0.2,38,2.7438170584918455,0,4.129201697093256e-10
k5_jellybean,0.2,145,2.748333589311929,0,1.3006894202972768e-10
k5_jellybean,0.2,134,2.7560088834579415,0,5.9615399342604e-11
k5_jellybean,0.2,181,2.7645397527103386,0,-7.496740190724857e-10
k5_jellybean,0.2,112,2.8104338153454664,0,2.2411835932455986e-10
k5_jellybean,0.2,475,4.396450954709366,0,-3.961194400996832e-10
k5_jellybean,0.2,502,4.396450954709366,0,-4.78382290360535e-10
k5_jellybean,0.2,489,4.396450954709366,0,-6.821388316562096e-11
k5_jellybean,0.2,466,4.396450954709366,0,-2.1930218898522684e-10
k5_jellybean,0.2,411,4.396450954709366,0,-3.621720746090753e-10
k5_jellybean,0.2,447,4.396450954709366,0,-1.207024850331957e-10
k5_jellybean,0.2,465,4.396450954709366,0,-1.0117264437327847e-09
k5_jellybean,0.2,459,4.396450954709366,0,-4.672450392016095e-10
k5_jellybean,0.2,565,4.396450954709366,0,1.3038835684088339e-11
k5_jellybean,0.2,575,4.396450954709366,0,-4.415721819317623e-10
k5_jellybean,0.2,586,4.396450954709366,0,-3.8676489540818686e-10
k5_jellybean,0.2,605,4.396450954709366,0,-2.3951460703322615e-12
k5_jellybean,0.2,516,4.396450954709366,0,-6.540019213811193e-10
k5_jellybean,0.2,524,4.396450954709366,0,-3.720305041725707e-10
k5_jellybean,0.2,533,4.396450954709366,0,9.837954319991152e-10
k5_jellybean,0.2,547,4.396450954709366,0,-4.037050529965953e-10
k5_jellybean,0.2,347,4.396450954709366,0,1.6133826371360786e-10
k5_jellybean,0.2,331,4.396450954709366,0,-5.190456512482124e-10
k5_jellybean,0.2,315,4.396450954709366,0,-2.0837770752167713e-10
k5_jellybean,0.2,373,4.396450954709366,0,-1.1310244271173361e-09
k5_jellybean,0.2,365,4.396450954709366,0,6.234807503335959e-11
k5_jellybean,0.2,594,4.396695610799002,0,-3.3111183985045007e-10
k5_jellybean,0.2,135,4.550807509126524,0,3.6381745798632956e-10
k5_jellybean,0.2,74,4.97455727967517,0,-6.299978280764537e-10
k5_jellybean,0.2,82,14.129190206238677,0,-8.535058523320949e-10
k5_jellybean,0.2,7,42.52616633854866,0,7.833850552931601e-10
