dataset,radius,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,param_enc_sec,plain_sec
k5_jellybean,0.2,4,4,32768,32768,2.8797503223113514e-09,0.9982500857822739,1.0000000006600605,12.227723598480225,0.019804716110229492,0.00011754035949707031
k5_jellybean,0.5,4,4,32768,32768,3.6437145820712567e-09,0.9999999992724335,1.0000000004701852,12.337204456329346,0.02157115936279297,0.00010275840759277344
k5_jellybean,1.0,5,5,32768,32768,3.936177304803963e-09,0.9999999996909896,1.0000000006348357,12.28473162651062,0.02149796485900879,0.0001857280731201172
k5_jellybean,2.0,5,5,32768,32768,3.1440051730013508e-09,0.9999999994027503,0.999999999837142,12.138388633728027,0.02178955078125,0.0001227855682373047
k5_jellybean,3.0,53,53,32768,32768,3.85153297539998e-09,0.999999998114419,1.0000000011017707,12.156754970550537,0.02153754234313965,9.083747863769531e-05
k5_jellybean,5.0,254,254,32768,32768,3.61934736866886e-09,0.9999999988632017,1.000000002337218,12.030406713485718,0.02161431312561035,0.00011491775512695312
