radius,slot,dist_km,plain,decrypted
0.5,18200,0.0,1,1.0000000002142975
0.5,6184,0.0,1,1.0000000002353282
0.5,12761,0.0,1,0.9999999991849364
0.5,12652,0.0,1,0.9999999999860801
0.5,8496,0.0,1,1.0000000000617644
0.5,6961,0.0,1,1.0000000003274905
0.5,17953,0.0,1,0.9999999993224403
0.5,21413,0.0,1,0.9999999999527256
0.5,1500,0.0,1,0.9999999991915441
0.5,1676,0.0,1,0.9999999997560778
0.5,3450,0.0,1,0.9999999999281635
0.5,343,0.0,1,1.000000000204344
0.5,9759,2.0768426414267775,0,-3.2115801319359445e-10
0.5,15873,2.0768426414267775,0,4.40618809121638e-10
0.5,12931,2.0768426414267775,0,4.1329097391203935e-10
0.5,15544,2.0768426414267775,0,8.334596591142689e-10
0.5,14160,2.0768426414267775,0,2.2260609564417287e-10
0.5,2876,2.0768426414267775,0,3.9023684283989724e-10
0.5,4069,2.0768426414267775,0,1.8665848505029804e-11
0.5,1128,2.0768426414267775,0,2.932349980562837e-10
0.5,20424,2.0768426414267775,0,3.9303716018598767e-10
0.5,6920,2.0768426414267775,0,1.7377115166411608e-10
0.5,18287,2.0768426414267775,0,7.821581142942383e-10
0.5,19224,2.0768426414267775,0,2.2728152693218817e-10
0.5,21031,4.070379948063401,0,2.55834297076668e-10
0.5,16633,4.070379948063401,0,7.824465797350416e-10
0.5,15685,4.070379948063401,0,9.853459244565523e-10
0.5,8755,4.070379948063401,0,1.3278909596262643e-09
0.5,10051,4.070379948063401,0,6.562269092709749e-10
0.5,6583,4.070379948063401,0,2.501334550982882e-10
0.5,4382,4.070379948063401,0,3.0499855176521794e-10
0.5,14941,4.070379948063401,0,6.438143693133326e-10
0.5,10987,4.070379948063401,0,3.0327362941912107e-10
0.5,506,4.070379948063401,0,6.967449739352098e-10
0.5,2554,6.262313927430596,0,4.694147464900531e-10
0.5,13624,6.262313927430596,0,3.770762942942426e-10
0.5,21137,7.471491323945595,0,4.2543406555518735e-11
0.5,21727,12.760285368269132,0,3.1713398643681214e-10
0.5,22028,17.392615667541104,0,3.215192581880171e-10
0.5,22113,24.655931973646123,0,-1.541754501843684e-10
0.5,0,517.7953016812207,0,-6.330708735013957e-10
0.5,1,517.7953016812207,0,-7.252183853445615e-10
1.0,18200,0.0,1,1.000000000779968
1.0,6184,0.0,1,1.0000000003196146
1.0,12761,0.0,1,1.0000000005988636
1.0,12652,0.0,1,0.9999999997948176
1.0,8496,0.0,1,1.0000000002888054
1.0,6961,0.0,1,1.000000000057473
1.0,17953,0.0,1,0.9999999990727944
1.0,21413,0.0,1,0.9999999995307121
1.0,1500,0.0,1,0.9999999995849342
1.0,1676,0.0,1,1.000000000737547
1.0,3450,0.0,1,1.0000000003209863
1.0,343,0.0,1,1.0000000005317948
1.0,9759,2.0768426414267775,0,-2.1225365557640123e-10
1.0,15873,2.0768426414267775,0,4.631596239373072e-10
1.0,12931,2.0768426414267775,0,4.4449516275031403e-10
1.0,15544,2.0768426414267775,0,1.1566359181404619e-09
1.0,14160,2.0768426414267775,0,3.148728768356004e-10
1.0,2876,2.0768426414267775,0,-2.6368640604346183e-10
1.0,4069,2.0768426414267775,0,4.567794918792606e-10
1.0,1128,2.0768426414267775,0,6.200828941093825e-10
1.0,20424,2.0768426414267775,0,-1.4862002900074538e-10
1.0,6920,2.0768426414267775,0,4.363169857262837e-10
1.0,18287,2.0768426414267775,0,3.4108908139239694e-10
1.0,19224,2.0768426414267775,0,4.597102698511435e-10
1.0,21031,4.070379948063401,0,-1.7931205976459836e-10
1.0,16633,4.070379948063401,0,1.0707902446502689e-10
1.0,15685,4.070379948063401,0,-8.059711765424649e-10
1.0,8755,4.070379948063401,0,-1.2693122476923509e-09
1.0,10051,4.070379948063401,0,1.253803201747265e-10
1.0,6583,4.070379948063401,0,-2.585315076937806e-10
1.0,4382,4.070379948063401,0,1.1261314871889106e-10
1.0,14941,4.070379948063401,0,-1.6210126842667297e-10
1.0,10987,4.070379948063401,0,4.4482980447388104e-10
1.0,506,4.070379948063401,0,-1.6294343785973973e-10
1.0,2554,6.262313927430596,0,9.352477712132436e-10
1.0,13624,6.262313927430596,0,-3.713659638885304e-10
1.0,21137,7.471491323945595,0,-1.1640743463451336e-10
1.0,21727,12.760285368269132,0,1.856229713411033e-10
1.0,22028,17.392615667541104,0,4.1923285090458294e-10
1.0,22113,24.655931973646123,0,2.1664026128576097e-10
1.0,0,517.7953016812207,0,-9.146007284854818e-10
1.0,1,517.7953016812207,0,7.915867961116874e-11
2.0,18200,0.0,1,0.999999999502692
2.0,6184,0.0,1,0.9999999993934623
2.0,12761,0.0,1,0.9999999995654463
