radius,slot,step_input,he_output,dist_km
0.5,5,-5.192664211745096e-06,3.7070041480902205e-10,2.0768426414267775
0.5,6,-5.192664211745096e-06,2.08514427946227e-10,2.0768426414267775
0.5,7,-5.192664211745096e-06,7.781280064733664e-10,2.0768426414267775
0.5,8,-5.192664211745096e-06,4.8502213356727e-10,2.0768426414267775
0.5,9,-5.192664211745096e-06,8.742153112528683e-10,2.0768426414267775
0.5,10,-5.192664211745096e-06,-1.0974095082146013e-10,2.0768426414267775
0.5,11,-5.192664211745096e-06,4.0783926863603223e-10,2.0768426414267775
0.5,12,-5.192664211745096e-06,3.7319151176536166e-10,2.0768426414267775
0.5,13,3.1948759037963085e-07,0.9999999996445504,0.0
0.5,14,3.1948759037963085e-07,0.999999999925334,0.0
0.5,15,-5.192664211745096e-06,1.5594469028537781e-10,2.0768426414267775
0.5,16,-5.192664211745096e-06,3.725080233301159e-10,2.0768426414267775
0.5,17,3.1948759037963085e-07,0.9999999999329252,0.0
0.5,18,3.1948759037963085e-07,1.0000000000107097,0.0
0.5,19,3.1948759037963085e-07,0.9999999995988986,0.0
0.5,20,3.1948759037963085e-07,1.0000000001889675,0.0
0.5,21,-5.192664211745096e-06,6.102696287395718e-10,2.0768426414267775
0.5,22,-5.192664211745096e-06,-3.5338147379858864e-10,2.0768426414267775
0.5,23,-5.192664211745096e-06,-3.88130314661349e-10,2.0768426414267775
0.5,24,-5.192664211745096e-06,4.1282342322007574e-10,2.0768426414267775
0.5,25,3.1948759037963085e-07,0.999999999872345,0.0
0.5,26,3.1948759037963085e-07,1.0000000004424359,0.0
0.5,27,3.1948759037963085e-07,0.9999999996026566,0.0
0.5,28,3.1948759037963085e-07,1.000000000206694,0.0
0.5,29,-5.192664211745096e-06,4.8252957185468404e-11,2.0768426414267775
0.5,30,-5.192664211745096e-06,6.099644678236871e-10,2.0768426414267775
0.5,31,-5.192664211745096e-06,-1.480995326375023e-09,2.0768426414267775
0.5,32,-5.192664211745096e-06,1.3579721969007505e-10,2.0768426414267775
0.5,33,3.1948759037963085e-07,0.9999999997211002,0.0
0.5,34,3.1948759037963085e-07,0.9999999998473639,0.0
0.5,35,3.1948759037963085e-07,0.9999999998743085,0.0
0.5,36,3.1948759037963085e-07,0.9999999998379278,0.0
0.5,37,3.1948759037963085e-07,1.0000000000103726,0.0
0.5,38,3.1948759037963085e-07,0.9999999996975177,0.0
0.5,39,3.1948759037963085e-07,0.9999999997765732,0.0
0.5,40,3.1948759037963085e-07,0.9999999998905045,0.0
0.5,41,-5.192664211745096e-06,3.239013785334432e-10,2.0768426414267775
0.5,42,-5.192664211745096e-06,1.5517232149094044e-10,2.0768426414267775
0.5,43,-5.192664211745096e-06,-6.011959169799193e-11,2.0768426414267775
0.5,44,-5.192664211745096e-06,2.983166117264032e-10,2.0768426414267775
0.5,45,3.1948759037963085e-07,0.9999999996968432,0.0
0.5,46,3.1948759037963085e-07,0.9999999999184142,0.0
0.5,47,3.1948759037963085e-07,0.99999999991104,0.0
0.5,48,3.1948759037963085e-07,0.9999999998816722,0.0
0.5,49,-5.192664211745096e-06,1.0408037506256534e-10,2.0768426414267775
0.5,50,-5.192664211745096e-06,-1.2688089692293983e-10,2.0768426414267775
0.5,51,-5.192664211745096e-06,1.6491750664157333e-10,2.0768426414267775
0.5,52,-5.192664211745096e-06,6.670908690882314e-11,2.0768426414267775
0.5,53,3.1948759037963085e-07,1.00000000072226,0.0
0.5,54,3.1948759037963085e-07,1.0000000001797935,0.0
0.5,55,-5.192664211745096e-06,4.517364260436807e-11,2.0768426414267775
0.5,56,-5.192664211745096e-06,1.0441736364441567e-10,2.0768426414267775
0.5,57,-5.192664211745096e-06,5.393541169240734e-10,2.0768426414267775
0.5,58,-5.192664211745096e-06,9.029737818316536e-11,2.0768426414267775
0.5,59,-5.192664211745096e-06,-7.750321380639066e-10,2.0768426414267775
0.5,60,-5.192664211745096e-06,2.5811786041884943e-10,2.0768426414267775
0.5,61,-5.192664211745096e-06,6.481118419721099e-10,2.0768426414267775
0.5,62,-5.192664211745096e-06,4.643410649021323e-10,2.0768426414267775
0.5,63,3.1948759037963085e-07,1.0000000001920284,0.0
0.5,64,3.1948759037963085e-07,1.000000000253336,0.0
0.5,65,3.1948759037963085e-07,0.9999999997651401,0.0
0.5,66,3.1948759037963085e-07,1.0000000000426146,0.0
0.5,67,-5.192664211745096e-06,-5.515406470053494e-10,2.0768426414267775
0.5,68,-5.192664211745096e-06,4.005890619218633e-10,2.0768426414267775
0.5,0,-0.34263347517947357,-6.037401689695798e-10,517.7953016812207
1.0,5,-4.234201440606204e-06,-2.9694802172741674e-11,2.0768426414267775
1.0,6,-4.234201440606204e-06,6.174331046437942e-10,2.0768426414267775
1.0,7,-4.234201440606204e-06,5.936253710814299e-10,2.0768426414267775
1.0,8,-4.234201440606204e-06,2.1239887626478549e-10,2.0768426414267775
1.0,9,-4.234201440606204e-06,7.931314494058483e-10,2.0768426414267775
1.0,10,-4.234201440606204e-06,6.024623946181655e-10,2.0768426414267775
1.0,11,-4.234201440606204e-06,2.3399512307866697e-10,2.0768426414267775
1.0,12,-4.234201440606204e-06,3.5930808649569725e-10,2.0768426414267775
1.0,13,1.2779503615185234e-06,1.0000000003355085,0.0
