dataset,radius,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,plain_sec
k5_jellybean,0.2,4,4,32768,32768,3.840336623182865e-09,0.9970101014554275,1.000000000465701,12.54269528388977,0.0001556873321533203
k5_jellybean,0.5,4,4,32768,32768,3.3719245786918075e-09,0.9999999996861919,1.0000000002944338,13.564215421676636,0.0001862049102783203
k5_jellybean,1.0,5,5,32768,32768,3.7209887728997864e-09,0.9999999997126094,1.0000000011570302,13.242023944854736,0.00012040138244628906
k5_jellybean,2.0,5,5,32768,32768,2.691739871605908e-09,0.9999999991687583,1.0000000004847545,13.228322505950928,0.000110626220703125
k5_jellybean,3.0,53,53,32768,32768,3.854314447501704e-09,0.9999999991699562,1.0000000012240713,12.116251468658447,0.00011444091796875
k5_jellybean,5.0,254,254,32768,32768,3.2044932228753644e-09,0.9999999988243411,1.0000000020499842,12.946007490158081,0.0001251697540283203
