dataset,radius,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,plain_sec
k5_kitkat,0.2,3,3,32768,32768,3.6953950239119274e-09,0.7981170162363085,0.9999999996712055,13.685427904129028,0.00012373924255371094
k5_kitkat,0.5,13,13,32768,32768,2.7294249963071417e-09,0.9999999989202712,1.0000000002966838,13.303975343704224,0.00011658668518066406
k5_kitkat,1.0,52,52,32768,32768,4.345252894267649e-09,0.9999999993218518,1.0000000013486006,13.55702543258667,0.0001404285430908203
k5_kitkat,2.0,56,56,32768,32768,4.15797913233432e-09,0.9999999980960345,1.0000000014851413,12.949856519699097,0.00012254714965820312
k5_kitkat,3.0,58,58,32768,32768,3.307530792081689e-09,0.9999999989713081,1.0000000010727552,12.953234195709229,0.009268522262573242
k5_kitkat,5.0,58,58,32768,32768,2.764971603387789e-09,0.9999999980853271,1.0000000009143886,13.508936643600464,0.00011563301086425781
