dataset,radius,slot,step_input,he_output,dist_km
k5_kitkat,0.2,4,-1.974138942703498e-07,8.390061882964767e-10,0.4409954260355939
k5_kitkat,0.2,17,-1.974138942703498e-07,9.064977161845095e-10,0.4409954260355939
k5_kitkat,0.2,22,-1.974138942703498e-07,5.138163787374217e-10,0.4409954260355939
k5_kitkat,0.2,85,-1.974138942703498e-07,3.623422996086588e-10,0.4409954260355939
k5_kitkat,0.2,1187,-0.004045972700158285,-8.080265429659556e-10,56.267448866508296
k5_kitkat,0.2,1188,-0.004050319137831888,-1.3547316181677758e-11,56.297663383946315
k5_kitkat,0.2,1189,-0.004053483021125366,3.9545604973289964e-10,56.319647110767455
k5_kitkat,0.2,1190,-0.004053483021125366,5.3964263521609004e-11,56.319647110767455
k5_kitkat,0.2,1191,-0.004053483021125366,5.567820151224857e-10,56.319647110767455
k5_kitkat,0.2,1192,-0.004053483021125366,1.4999744549909161e-10,56.319647110767455
k5_kitkat,0.2,1193,-0.004053483021125366,3.790739921579504e-10,56.319647110767455
k5_kitkat,0.2,1194,-0.004053483021125366,6.114823907362917e-10,56.319647110767455
k5_kitkat,0.2,1195,-0.004053483021125366,-2.1902677552668577e-10,56.319647110767455
k5_kitkat,0.2,1196,-0.004053483021125366,2.634584663961196e-10,56.319647110767455
k5_kitkat,0.2,1197,-0.004053483021125366,1.0033111048402656e-10,56.319647110767455
k5_kitkat,0.2,1198,-0.004053483021125366,7.809644642173138e-10,56.319647110767455
k5_kitkat,0.2,1199,-0.004053483021125366,6.194471917256183e-10,56.319647110767455
k5_kitkat,0.2,1200,-0.004053483021125366,2.273475371420632e-10,56.319647110767455
k5_kitkat,0.2,1201,-0.004053483021125366,3.7189840198287387e-10,56.319647110767455
k5_kitkat,0.2,1202,-0.004053483021125366,3.790926121113326e-10,56.319647110767455
k5_kitkat,0.2,1206,-0.014704854653293844,-4.2784933624612294e-10,107.268974898703
k5_kitkat,0.2,1207,-0.014732484300219176,4.158703880189228e-10,107.3697036300519
k5_kitkat,0.2,1211,-0.032965816617270105,-4.5321369685352455e-10,160.61099157142
k5_kitkat,0.2,1212,-0.03297491517841901,-2.530403417693035e-10,160.63315431444488
k5_kitkat,0.2,1213,-0.03301524699566219,2.5828911495145125e-10,160.73135983141933
k5_kitkat,0.2,1214,-0.03301894549283545,-4.268579916654982e-10,160.74036244333493
k5_kitkat,0.2,1215,-0.03309633878536247,9.254845776864703e-11,160.92863201586354
k5_kitkat,0.2,1216,-0.03310014030231143,-8.523352330619307e-10,160.9378740413173
k5_kitkat,0.2,1217,-0.03319740430607488,-3.1463373069648964e-10,161.1741563536305
