target,max_count,expected,answer,exist_value,correct,exist_sec
01020132924,32,1,1,0.9999999997203038,1,11.693844079971313
01020132924,256,1,1,1.0000000011246009,1,11.818865299224854
01020132924,2048,1,1,1.0000000004073557,1,11.779761552810669
01011112222,32,0,0,-1.9493170001757448e-10,1,12.014528274536133
01011112222,256,0,0,8.06918494378864e-10,1,12.554015636444092
01011112222,2048,0,0,-3.750017064408779e-10,1,11.82925534248352
