predicate,scored,plain,cipher,agree,total,zero_max,one_min,one_max,he_sec,plain_sec
speed increase,11,10,10,11,11,1.1251349851804093e-10,0.9999999992494364,1.0000000012049266,15.70334768295288,0.00034809112548828125
overspeed,11,4,4,11,11,8.252578857812641e-10,0.9999999997558753,1.000000000562714,13.961360931396484,0.00018405914306640625
time window,32768,4,4,32768,32768,3.1551878378490653e-09,0.9999999987869053,1.0000000008477308,26.967679738998413,0.0002856254577636719
