dataset,radius,plain,cipher,agree,gray,sec
k5_kitkat,0.5,13,13,32768,0,16.496824264526367
k5_kitkat,1.0,52,52,32768,0,14.534269571304321
k5_kitkat,5.0,58,58,32768,0,14.100867748260498
k5_kitkat,10.0,72,72,32768,0,16.975046157836914
k5_kitkat,50.0,92,92,32768,0,14.097660779953003
k5_kitkat,100.0,110,110,32768,0,14.207835674285889
