radius,slot,step_input,he_output,dist_km
0.5,4,7.095568164854014e-08,1.0000000002210234,0.4409954260355939
0.5,17,7.095568164854014e-08,1.0000000000267792,0.4409954260355939
0.5,22,7.095568164854014e-08,0.9999999991807768,0.4409954260355939
0.5,85,7.095568164854014e-08,1.0000000002871996,0.4409954260355939
0.5,1187,-0.004045704330582366,1.6257720409177759e-10,56.267448866508296
0.5,1188,-0.00405005076825597,5.066095699643426e-10,56.297663383946315
0.5,1189,-0.0040532146515494475,5.761408058971747e-10,56.319647110767455
0.5,1190,-0.0040532146515494475,-5.30685135582956e-10,56.319647110767455
0.5,1191,-0.0040532146515494475,4.5650242797782076e-10,56.319647110767455
0.5,1192,-0.0040532146515494475,1.703993887467658e-10,56.319647110767455
0.5,1193,-0.0040532146515494475,4.404542224928058e-10,56.319647110767455
0.5,1194,-0.0040532146515494475,1.043274579406986e-09,56.319647110767455
0.5,1195,-0.0040532146515494475,7.466562916633284e-10,56.319647110767455
0.5,1196,-0.0040532146515494475,1.4264901180193723e-10,56.319647110767455
0.5,1197,-0.0040532146515494475,4.942466863152756e-10,56.319647110767455
0.5,1198,-0.0040532146515494475,7.598576769175073e-11,56.319647110767455
0.5,1199,-0.0040532146515494475,4.281697797968699e-11,56.319647110767455
0.5,1200,-0.0040532146515494475,7.097345823987561e-10,56.319647110767455
0.5,1201,-0.0040532146515494475,4.10599564492796e-10,56.319647110767455
0.5,1202,-0.0040532146515494475,3.259753168747493e-10,56.319647110767455
0.5,1206,-0.014704586283717925,-2.5521320570697105e-10,107.268974898703
0.5,1207,-0.014732215930643257,-5.919213621879566e-10,107.3697036300519
0.5,1211,-0.03296554824769419,7.689746552074551e-10,160.61099157142
0.5,1212,-0.03297464680884309,-1.3435651283844954e-10,160.63315431444488
0.5,1213,-0.033014978626086273,5.815340058149064e-10,160.73135983141933
0.5,1214,-0.03301867712325953,3.346610897221525e-10,160.74036244333493
0.5,1215,-0.033096070415786556,1.650505541036341e-10,160.92863201586354
0.5,1216,-0.03309987193273552,-2.2463442274823874e-10,160.9378740413173
0.5,1217,-0.033197135936498964,1.7960968461973815e-10,161.1741563536305
0.5,1218,-0.033179312052188895,2.202203450983855e-11,161.13088292827368
0.5,1225,-0.033179312052188895,3.679943520061839e-10,161.13088292827368
0.5,1226,-0.033179312052188895,-4.4721570286847295e-10,161.13088292827368
0.5,1228,-0.033179312052188895,3.6141886504769243e-10,161.13088292827368
0.5,1229,-0.033179312052188895,4.075751234364943e-10,161.13088292827368
0.5,1273,-0.033179312052188895,2.126503100812882e-10,161.13088292827368
0.5,1274,-0.033179312052188895,5.094248354790203e-10,161.13088292827368
0.5,1277,-0.033179312052188895,-1.487999707651424e-10,161.13088292827368
0.5,1278,-0.033179312052188895,1.0925116802230253e-09,161.13088292827368
0.5,1279,-0.033179312052188895,4.987171588300656e-10,161.13088292827368
0.5,1282,-0.03318188312260426,6.88047690373064e-10,161.13712577669645
0.5,1283,-0.03317783358999072,1.070956359404239e-09,161.12729294607422
0.5,1284,-0.033176425668953735,6.388668957039934e-10,161.12387417662757
0.5,1285,-0.03317513147193344,9.851788928394822e-10,161.12073149233893
0.5,1286,-0.033173627436651656,-6.751774404734245e-10,161.11707918311006
0.5,1289,-0.033216526446192045,-2.5334780955286486e-10,161.22122009349835
0.5,1290,-0.03321928107148019,1.2070735246623545e-10,161.22790487693467
0.5,1295,-0.033314241986483396,-4.272246104508807e-10,161.45818193108852
0.5,1296,-0.033314241986483396,-6.129389948014611e-10,161.45818193108852
0.5,1313,-0.033365972806236203,-1.5211333062221077e-09,161.58348936223618
0.5,1321,-0.033365972806236203,-2.1184897628833446e-10,161.58348936223618
0.5,1333,-0.033365972806236203,6.959322836325067e-11,161.58348936223618
0.5,1334,-0.033365972806236203,-3.715792661965637e-10,161.58348936223618
0.5,1345,-0.03339141197708973,1.876406263960614e-10,161.64507497029015
0.5,1346,-0.03339141197708973,-5.7931823343966094e-11,161.64507497029015
0.5,1347,-0.03339141197708973,1.4708049835471302e-09,161.64507497029015
0.5,1348,-0.03339141197708973,8.760949811032573e-11,161.64507497029015
0.5,1356,-0.03339141197708973,9.524744255232814e-10,161.64507497029015
0.5,1357,-0.03339141197708973,1.3172720983917448e-10,161.64507497029015
0.5,1388,-0.03339325165090628,3.3853529071968845e-10,161.64952772106415
0.5,1395,-0.0333627431590165,-4.47856380713279e-10,161.57566904028792
0.5,1424,-0.03317984547219803,4.862578354621273e-10,161.13217815199386
0.5,1425,-0.03317984547219803,2.3273054009802324e-10,161.13217815199386
0.5,1433,-0.03317984547219803,-2.4311248627443873e-10,161.13217815199386
0.5,1434,-0.03317984547219803,-1.6984970320900598e-10,161.13217815199386
0.5,1435,-0.03317984547219803,6.982244709301232e-10,161.13217815199386
